País;Monstruo1;Monstruo2;Monstruo3;Monstuo4;Monstuo5;Tesoro1;Tesoro2;Tesoro3;Tesoro4;Tesoro5;Pregunta1;Pregunta2;Pregunta3;Pregunta4;Pregunta5;Respuesta1A;Respuesta2A;Respuesta3A;Respuesta4A;Respuesta5A;Respuesta1B;Respuesta2B;Respuesta3B;Respuesta4B;Respuesta5B;Respuesta1C;Respuesta2C;Respuesta3C;Respuesta4C;Respuesta5C;Pista1;Pista2;Pista3;Pista4;Pista5;Excusa1;Excusa2;Excusa3;Excusa4;Excusa5
"México	";El espectro de la mujer que llora La Llorona;La bestia chupasangre El Chupacabras;El brujo cambiaformas Nahual;El duende maya Alux;El perro infernal Cadejo;El tesoro perdido de Moctezuma;La tumba del astronauta de Palenque;El oro de la Noche Triste;El Penacho de Moctezuma;El tesoro oculto de Pancho Villa;¿Qué volcán famoso está en México?; ¿Qué animal vive en sus selvas?; ¿Qué cactus grande crece en México?; ¿Qué océano baña sus costas?; ¿Qué flor es típica del Día de Muertos?;Popocatépetl; Jaguar; Nopal; Pacífico; Cempasúchil;Etna; León; Pino; Atlántico; Rosa;Vesubio; Tigre; Olivo; Índico; Tulipán;Su capital es Ciudad de México; Allí están las pirámides de Teotihuacán; Se celebra el Día de los Muertos con calaveras de colores; Se comen tacos y tortillas; En Yucatán está Chichén Itzá;No has podido salir del país porque te has quedado atrapado en una fiesta que empezó con mariachis y ahora incluye luchadores enmascarados.; No has podido salir del país porque has comido un chile tan picante que has visto el futuro y no te gusta tu vuelo.; No has podido salir del país porque te has unido a la migración de las mariposas monarca.; No has podido salir del país porque estás esperando a que tu agave crezca para hacer tu propio tequila.; No has podido salir del país porque te has dormido la siesta bajo un sombrero gigante y nadie te encuentra.
"Micronesia	";El espíritu de los muertos Anitelu;El tiburón demonio Ngyao;El dios embaucador Olofat;El espíritu del tifón Ruge;El espíritu del rayo Yalung;La ciudad imposible de Nan Madol;Las monedas de piedra de Yap;La flota fantasma de la Laguna de Chuuk (Truk);El secreto de los navegantes de las estrellas;El legado de las sociedades matriarcales;¿Qué océano rodea Micronesia?; ¿Qué pez se pesca allí?; ¿Qué animal marino grande nada cerca?; ¿Qué fruta tropical crece?; ¿Qué tipo de arrecifes rodean sus islas?;Pacífico; Atún; Tiburón ballena; Coco; Arrecifes de coral;Atlántico; Delfín; León; Manzana; Cuevas de hielo;Índico; Tiburón; Elefante; Uva; Montañas;Su capital es Palikir; Son muchas islas muy pequeñas; Sus aldeas tienen casas sobre pilotes; La gente navega en canoas; Sus mares tienen corales de colores;No has podido salir del país porque estás buceando en la flota fantasma de la laguna de Truk y has decidido quedarte como fantasma.; No has podido salir del país porque las piedras rai (dinero de piedra gigante) están bloqueando la pista de aterrizaje.; No has podido salir del país porque te has perdido entre las 607 islas.;" No has podido salir del país porque te han nombrado jefe de una tribu y tu primer decreto ha sido ""no más aviones""."; No has podido salir del país porque una anguila gigante se ha comido el cable de comunicaciones.
"Mónaco	";La bruja Strega;El hombre lobo Lupo Mannaro;El rey de las serpientes Basilisco;El monstruo alpino Criptido;El gnomo Mommotti;El Casino de Montecarlo;El Gran Premio de Mónaco;El Museo Oceanográfico;El legado de la familia Grimaldi;El yate del Príncipe Rainiero III;¿Qué mar baña Mónaco?; ¿Qué pez se pesca allí?; ¿Qué árbol mediterráneo crece en sus jardines?; ¿Qué flor se cultiva en Mónaco?; ¿Qué ave blanca se ve en las plazas?;Mediterráneo; Atún; Olivo; Rosa; Paloma;Rojo; Tiburón; Roble; Lirio; Pato;Negro; Delfín; Cactus; Tulipán; Águila;Su capital es Mónaco; Es un país muy pequeño; Allí hay un circuito de Fórmula 1; Tiene un puerto con yates enormes; Está junto al mar Mediterráneo;No has podido salir del país porque has apostado tu pasaporte en el casino de Montecarlo y has perdido.; No has podido salir del país porque el Gran Premio de Fórmula 1 está usando las calles como circuito y tu hotel está en medio.; No has podido salir del país porque te has quedado atrapado en un atasco de yates de lujo.; No has podido salir del país porque la familia real te ha invitado a un baile y no tienes nada que ponerte.; No has podido salir del país porque has tropezado y has salido del país sin querer
"Moldavia	";El hombre lobo Vârcolac;El dragón Zmeu;El no muerto Pricolici;El vampiro Strigoi;El hada Iele;Las bodegas de vino de Cricova y Milestii Mici;El Monasterio de Orheiul Vechi;El tesoro de los Dacios;El legado del príncipe Esteban el Grande;La región de Transnistria;¿Qué animal vive en sus bosques?; ¿Qué río pasa por Moldavia?; ¿Qué árbol grande crece allí?; ¿Qué fruta se cultiva en sus campos?; ¿Qué ave canta en primavera?;Ciervo; Dniéster; Roble; Manzana; Ruiseñor;León; Danubio; Olivo; Mango; Loro;Tigre; Rin; Pino; Uva; Águila;Su capital es Chisináu; Tiene viñedos con mucho vino; Sus pueblos tienen casas de colores; Les gusta bailar en círculos; Sus iglesias tienen torres puntiagudas;No has podido salir del país porque te has perdido en la bodega de vinos más grande del mundo; Mile?tii Mici.;" No has podido salir del país porque estás participando en el campeonato nacional de ""lucha de carneros""."; No has podido salir del país porque te has unido a un monasterio en Orheiul Vechi y ahora tu única preocupación es la vendimia.; No has podido salir del país porque el territorio separatista de Transnistria ha emitido un visado que no es válido en ningún otro lugar.
"Mongolia	";El hombre salvaje Almas;El gusano de la muerte Olgoy-Khorkhoy;El espíritu del cielo Tengri;El dios de la muerte Erleg Khan;El demonio Chotgor;La tumba perdida de Gengis Kan;El tesoro del Imperio Mongol;Los fósiles de dinosaurios del desierto de Gobi;El legado de los nómadas;El festival Naadam;¿Qué animal vive en las estepas de Mongolia?; ¿Qué montaña es la más alta?; ¿Qué río cruza el país?; ¿Qué árbol crece en sus valles?; ¿Qué animal salvaje se ve en la tundra?;Caballo mongol; Burján Kháº; Selenga; Pino; Lobo;León; Everest; Amazonas; Olivo; Tigre;Elefante; Mont Blanc; Nilo; Cactus; Oso;Su capital es Ulán Bator; Su gente vive en tiendas llamadas gers; Allí hay caballos salvajes; Sus praderas son infinitas; Antiguamente vivió Gengis Kan;No has podido salir del país porque te has hecho amigo de un nómada y ahora estáis buscando nuevos pastos para sus yaks.; No has podido salir del país porque has sido retado a un combate de lucha libre Naadam y tu oponente es un niño de 10 años que te está ganando.; No has podido salir del país porque tu caballo se niega a ir a la ciudad.; No has podido salir del país porque estás participando en un concurso de canto gutural y has encontrado tu vocación.; No has podido salir del país porque Gengis Kan ha reclamado tu asiento en el avión.
"Montenegro	";El gritón aterrador Drekavac;El hada de la montaña Vila;El hombre con cabeza de perro Psoglav;La bruja nocturna Babaroga;El vampiro Lampir;El tesoro de la Bahía de Kotor;El Monasterio de Ostrog;El Mausoleo de Njegoš en el Monte Lov?en;El tesoro de la Reina Teuta;El lago Skadar;¿Qué animal vive en sus montañas?; ¿Qué río cruza Montenegro?; ¿Qué árbol crece en los bosques?; ¿Qué fruta se cultiva en el país?; ¿Qué ave vuela en la costa?;Cabra montés; Tara; Abeto; Ciruela; Gaviota;León; Danubio; Roble; Mango; Águila;Tigre; Sena; Pino; Uva; Loro;Su capital es Podgorica; Su costa tiene fiordos como Kotor; Sus montañas son muy altas; Allí hay monasterios en las rocas; Sus playas son muy bonitas;No has podido salir del país porque te has quedado atrapado en un fiordo del Adriático y la vista es demasiado bonita.; No has podido salir del país porque te has unido a un clan local y ahora tienes que defender el honor de la familia.;" No has podido salir del país porque te has relajado tanto que has alcanzado el estado de ""fjaka"" (el arte de no hacer nada)."; No has podido salir del país porque estás intentando cruzar el cañón del río Tara; el más profundo de Europa.
"Mozambique	";El duende maligno Tikoloshe;La serpiente de agua Mamlambo;La serpiente del trueno Inkanyamba;El hombre hiena Grotesque;El murciélago demonio Popobawa;El tesoro del naufragio del 'São João';La Isla de Mozambique;El archipiélago de las Quirimbas;El legado de la cultura swahili;El Parque Nacional de Gorongosa;¿Qué río pasa por Mozambique?; ¿Qué animal vive en sus selvas?; ¿Qué mar lo baña?; ¿Qué árbol crece cerca del agua?; ¿Qué fruto tropical se cultiva?;Zambeze; Elefante; Índico; Baobab; Mango;Amazonas; León; Rojo; Pino; Plátano;Níger; Tigre; Negro; Olivo; Manzana;Su capital es Maputo; Está en la costa del océano Índico; Allí se come marisco fresco; Sus danzas usan tambores grandes; Tienen parques con elefantes;No has podido salir del país porque estás esperando a que tu dhow de vela latina sea reparado con madera de mango.; No has podido salir del país porque te has unido a una banda de marrabenta y estáis de gira por Maputo.; No has podido salir del país porque un dugongo te ha invitado a explorar los arrecifes del archipiélago de Bazaruto.; No has podido salir del país porque estás en medio de un festín de gambas piri-piri.; No has podido salir del país porque la isla de Mozambique se ha quedado temporalmente sin puentes.
"Namibia	";El monstruo con ojos en los pies Aigamuxa;Los leones fantasma Hai-uri;El gigante asesino Ga-gorib;El espíritu del trueno Kha-nun;El espíritu del agua Otjize;La Costa de los Esqueletos y sus naufragios;Los diamantes de la ciudad fantasma de Kolmanskop;El Cañón del Río Fish;Las dunas de Sossusvlei;El arte rupestre de Twyfelfontein;¿Qué desierto cubre Namibia?; ¿Qué animal grande vive allí?; ¿Qué río cruza el país?; ¿Qué árbol típico se ve?; ¿Qué ave habita el desierto?;Namib; Elefante; Kunene; Acacia; Águila;Sahara; León; Amazonas; Roble; Paloma;Kalahari; Tigre; Nilo; Pino; Loro;Su capital es Windhoek; Tiene un desierto con dunas rojas; Allí viven guepardos; Sus pueblos himba se pintan de rojo; El esqueleto de barcos está en la “costa de los esqueletos”;No has podido salir del país porque estás escalando la Duna 45 para ver el amanecer y te has quedado dormido en la cima.; No has podido salir del país porque los elefantes del desierto han decidido usar la pista de aterrizaje como spa de arena.; No has podido salir del país porque te has perdido en la Costa de los Esqueletos y ahora eres el capitán de un barco fantasma.; No has podido salir del país porque una mujer Himba ha decidido que tu peinado necesita una remodelación con ocre.; No has podido salir del país porque estás esperando a que un guepardo termine su siesta en el capó de tu coche.
"Nauru	";El espíritu ancestral Eigigu;El dios araña Areop-Enap;El espíritu guardián Debao;El espíritu de la guerra Giminit;El espíritu del mar Ituman;Los depósitos de fosfato;El legado de la Segunda Guerra Mundial;La laguna de Buada;Los arrecifes de coral;La cultura del pueblo nauruano;¿Qué océano rodea Nauru?; ¿Qué animal marino se ve allí?; ¿Qué fruta crece en la isla?; ¿Qué árbol da sombra?; ¿Qué pez se pesca?;Pacífico; Tiburón; Coco; Palmera; Atún;Atlántico; Delfín; Mango; Roble; León;Índico; Ballena; Manzana; Pino; Elefante;Su capital es Yaren (no oficial); Es una isla pequeñísima; Allí se sacaba fosfato; La gente juega mucho al fútbol; Se puede recorrer entera en bicicleta;No has podido salir del país porque has tardado 20 minutos en dar la vuelta a la isla a pie y has decidido hacerlo de nuevo.; No has podido salir del país porque el único avión que viene una vez a la semana ha sido cancelado por culpa de un pájaro fragata.; No has podido salir del país porque te han nombrado ministro de algo; ya que solo hay 10.000 habitantes.; No has podido salir del país porque estás esperando a que el fosfato vuelva a crecer.
"Nepal	";El abominable hombre de las nieves Yeti;La bruja embaucadora Kichkanya;El demonio R?k?asa;El fantasma Bhoot;El espíritu hambriento Preta;El Monte Everest;La plaza Durbar de Katmandú;La estupa de Boudhanath;El lugar de nacimiento de Buda en Lumbini;El tesoro de los reyes de Nepal;¿Qué montaña famosa está en Nepal?; ¿Qué animal vive en el Himalaya?; ¿Qué río cruza el país?; ¿Qué árbol crece en las montañas?; ¿Qué flor se ve en los valles?;Everest; Leopardo de las nieves; Ganges; Rododendro; Loto;K2; Tigre; Amazonas; Pino; Tulipán;Mont Blanc; León; Nilo; Olivo; Rosa;Su capital es Katmandú; Allí está el Monte Everest; La gente lleva banderas de oración de colores; Hay templos con ojos pintados; Se ven yaks en las montañas;No has podido salir del país porque un sadhu (hombre santo) te ha bendecido con tanta fuerza que te has quedado pegado al suelo.; No has podido salir del país porque un yeti ha robado el tren de aterrizaje del avión.; No has podido salir del país porque estás atrapado en un atasco de yaks en el camino al campamento base del Everest.; No has podido salir del país porque sigues girando las ruedas de oración en Boudhanath para acumular buen karma.; No has podido salir del país porque te has reencarnado en una deidad local y ahora tienes que atender a tus fieles.
"Nicaragua	";El espectro del río La Llorona;La carreta fantasma Carretanagua;El perro infernal El Cadejo;La mujer sin rostro La Cegua;El duende protector;El tesoro del pirata Henry Morgan en el Lago de Nicaragua;Las ruinas de León Viejo;La ciudad de Granada;El tesoro de los indios Nicarao;La Isla de Ometepe;¿Qué lago grande está en Nicaragua?; ¿Qué animal vive allí?; ¿Qué volcán es famoso?; ¿Qué fruta tropical se cultiva?; ¿Qué árbol da sombra?;Lago Nicaragua; Tiburón de agua dulce; Momotombo; Plátano; Ceiba;Titicaca; Delfín; Etna; Coco; Pino;Victoria; León; Popocatépetl; Mango; Roble;Su capital es Managua; Tiene un lago enorme con tiburones; Allí hay volcanes activos; Se celebran fiestas con bailes y máscaras; Sus mercados son muy coloridos;"No has podido salir del país porque estás haciendo ""volcano boarding"" en el Cerro Negro y no quieres parar."; No has podido salir del país porque los tiburones de agua dulce del lago Cocibolca han organizado una regata.; No has podido salir del país porque te has perdido entre las isletas de Granada.; No has podido salir del país porque un poeta local está recitando un poema épico sobre tu viaje y aún no ha terminado.; No has podido salir del país porque tu hamaca está demasiado bien puesta.
"Níger	";El genio del desierto Jinn;El necrófago Ghul;El genio de fuego Ifrit;El espíritu de la danza Hauka;El espíritu de la naturaleza Zin;Las jirafas blancas de Kouré;La ciudad caravanera de Agadez;El arte rupestre de las montañas de Aïr;Las minas de uranio de Arlit;El desierto del Teneré;¿Qué desierto cubre Níger?; ¿Qué animal vive allí?; ¿Qué río cruza el país?; ¿Qué árbol crece en el desierto?; ¿Qué mineral se extrae?;Sahara; Camello; Níger; Acacia; Uranio;Gobi; León; Amazonas; Pino; Oro;Kalahari; Tigre; Nilo; Olivo; Plata;Su capital es Niamey; Gran parte es desierto del Sahara; Sus casas son de barro; La gente viaja en camellos; Allí se ven jirafas salvajes;No has podido salir del país porque estás en medio del festival Gerewol; donde los hombres compiten en un concurso de belleza.; No has podido salir del país porque tu 4x4 ha sido reclamado por las jirafas de Kouré.; No has podido salir del país porque te has perdido en el desierto de Ténéré y has encontrado un oasis secreto.; No has podido salir del país porque estás siguiendo las últimas huellas de dinosaurio encontradas en el desierto.
